Storenumber	Fiscal Transaction Date	Fiscal Year	Fiscal Period	Fiscal Week	Orders
6014	9/19/15	2015	10	38	217
6014	9/20/15	2015	10	38	154
6014	9/21/15	2015	10	39	107
6014	9/22/15	2015	10	39	105
6014	9/23/15	2015	10	39	115
6014	9/24/15	2015	10	39	145
6014	9/25/15	2015	10	39	255
6014	9/26/15	2015	10	39	204
6014	9/27/15	2015	10	39	188
6014	9/28/15	2015	10	40	119
6014	9/29/15	2015	10	40	105
6014	9/30/15	2015	10	40	118
6014	10/1/15	2015	10	40	160
6014	10/2/15	2015	10	40	272
6014	10/3/15	2015	10	40	211
6014	10/4/15	2015	10	40	182
6014	10/5/15	2015	11	41	81
6014	10/6/15	2015	11	41	102
6014	10/7/15	2015	11	41	124
6014	10/8/15	2015	11	41	156
6014	10/9/15	2015	11	41	270
6014	10/10/15	2015	11	41	219
6014	10/11/15	2015	11	41	147
6014	10/12/15	2015	11	42	97
6014	10/13/15	2015	11	42	103
6014	10/14/15	2015	11	42	110
6014	10/15/15	2015	11	42	164
6014	10/16/15	2015	11	42	263
6014	10/17/15	2015	11	42	221
6014	10/18/15	2015	11	42	191
6014	10/19/15	2015	11	43	80
6014	10/20/15	2015	11	43	116
6014	10/21/15	2015	11	43	143
6014	10/22/15	2015	11	43	152
6014	10/23/15	2015	11	43	225
6014	10/24/15	2015	11	43	191
6014	10/25/15	2015	11	43	147
6014	10/26/15	2015	11	44	111
6014	10/27/15	2015	11	44	119
6014	10/28/15	2015	11	44	129
6014	10/29/15	2015	11	44	159
6014	10/30/15	2015	11	44	236
6014	10/31/15	2015	11	44	270
6014	11/1/15	2015	11	44	175
6014	11/2/15	2015	12	45	89
6014	11/3/15	2015	12	45	97
6014	11/4/15	2015	12	45	107
6014	11/5/15	2015	12	45	131
6014	11/6/15	2015	12	45	277
6014	11/7/15	2015	12	45	216
6014	11/8/15	2015	12	45	167
6014	11/9/15	2015	12	46	103
6014	11/10/15	2015	12	46	130
6014	11/11/15	2015	12	46	130
6014	11/12/15	2015	12	46	157
6014	11/13/15	2015	12	46	230
6014	11/14/15	2015	12	46	204
6014	11/15/15	2015	12	46	177
6014	11/16/15	2015	12	47	83
6014	11/17/15	2015	12	47	107
6014	11/18/15	2015	12	47	116
6014	11/19/15	2015	12	47	125
6014	11/20/15	2015	12	47	261
6014	11/21/15	2015	12	47	201
6014	11/22/15	2015	12	47	147
6014	11/23/15	2015	12	48	107
6014	11/24/15	2015	12	48	135
6014	11/25/15	2015	12	48	196
6014	11/27/15	2015	12	48	156
6014	11/28/15	2015	12	48	191
6014	11/29/15	2015	12	48	191
6014	11/30/15	2015	13	49	106
6014	12/1/15	2015	13	49	100
6014	12/2/15	2015	13	49	132
6014	12/3/15	2015	13	49	155
6014	12/4/15	2015	13	49	210
6014	12/5/15	2015	13	49	210
6014	12/6/15	2015	13	49	174
6014	12/7/15	2015	13	50	84
6014	12/8/15	2015	13	50	87
6014	12/9/15	2015	13	50	118
6014	12/10/15	2015	13	50	160
6014	12/11/15	2015	13	50	235
6014	12/12/15	2015	13	50	228
6014	12/13/15	2015	13	50	142
6014	12/14/15	2015	13	51	100
6014	12/15/15	2015	13	51	106
6014	12/16/15	2015	13	51	140
6014	12/17/15	2015	13	51	167
6014	12/18/15	2015	13	51	218
6014	12/19/15	2015	13	51	218
6014	12/20/15	2015	13	51	151
6014	12/21/15	2015	13	52	145
6014	12/22/15	2015	13	52	142
6014	12/23/15	2015	13	52	183
6014	12/24/15	2015	13	52	119
6014	12/25/15	2015	13	52	0
6014	12/26/15	2015	13	52	193
6014	12/27/15	2015	13	52	169
6014	12/28/15	2016	1	1	157
6014	12/29/15	2016	1	1	128
6014	12/30/15	2016	1	1	137
6014	12/31/15	2016	1	1	197
6014	1/1/16	2016	1	1	152
6014	1/2/16	2016	1	1	160
6014	1/3/16	2016	1	1	179
6014	1/4/16	2016	1	2	98
6014	1/5/16	2016	1	2	97
6014	1/6/16	2016	1	2	102
6014	1/7/16	2016	1	2	124
6014	1/8/16	2016	1	2	242
6014	1/9/16	2016	1	2	181
6014	1/10/16	2016	1	2	161
6014	1/11/16	2016	1	3	80
6014	1/12/16	2016	1	3	77
6014	1/13/16	2016	1	3	118
6014	1/14/16	2016	1	3	127
6014	1/15/16	2016	1	3	231
6014	1/16/16	2016	1	3	193
6014	1/17/16	2016	1	3	152
6014	1/18/16	2016	1	4	89
6014	1/19/16	2016	1	4	88
6014	1/20/16	2016	1	4	88
6014	1/21/16	2016	1	4	106
6014	1/22/16	2016	1	4	213
6014	1/23/16	2016	1	4	183
6014	1/24/16	2016	1	4	183
6014	1/25/16	2016	2	5	67
6014	1/26/16	2016	2	5	91
6014	1/27/16	2016	2	5	107
6014	1/28/16	2016	2	5	110
6014	1/29/16	2016	2	5	268
6014	1/30/16	2016	2	5	210
6014	1/31/16	2016	2	5	132
6014	2/1/16	2016	2	6	71
6014	2/2/16	2016	2	6	119
6014	2/3/16	2016	2	6	103
6014	2/4/16	2016	2	6	130
6014	2/5/16	2016	2	6	220
6014	2/6/16	2016	2	6	161
6014	2/7/16	2016	2	6	158
6014	2/8/16	2016	2	7	76
6014	2/9/16	2016	2	7	103
6014	2/10/16	2016	2	7	99
6014	2/11/16	2016	2	7	122
6014	2/12/16	2016	2	7	250
6014	2/13/16	2016	2	7	190
6014	2/14/16	2016	2	7	131
6014	2/15/16	2016	2	8	115
6014	2/16/16	2016	2	8	111
6014	2/17/16	2016	2	8	98
6014	2/18/16	2016	2	8	125
6014	2/19/16	2016	2	8	238
6014	2/20/16	2016	2	8	192
6014	2/21/16	2016	2	8	144
6014	2/22/16	2016	3	9	93
6014	2/23/16	2016	3	9	101
6014	2/24/16	2016	3	9	127
6014	2/25/16	2016	3	9	143
6014	2/26/16	2016	3	9	220
